Model,Avg RMSD,Std RMSD,Avg PCC,Std PCC
Random Forest,0.5390416605718582,0.01588863383706721,0.41441721117295505,0.04055720531013578
XGBoost,0.5482311115061239,0.011447926323302405,0.3903448876475711,0.03254678517225505
